Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata5
speechwriter,-2.82566,1.372153,-.1421921,-3.946122,-1.967532,410
wholesaler,-2.155007,-.308088,-.0708217,-2.30838,-1.749523,421
rhododendron,-2.547096,2.258724,-.4045971,-2.263396,-2.46676,420
steelhead,-2.755044,1.302173,-.3294008,-3.975346,-1.670158,311
simpleton,-2.472339,.3549177,-.3042074,-.347351,-1.724493,321
unscathed,-1.871431,-.014327,-.2844108,.2199061,-1.771821,331
skintight,-2.793673,-.3133515,-.2525912,-3.30623,-2.151971,310
singleness,-2.816751,.4661463,-.3110575,-1.339595,-.7962896,413
sportsman,-1.813352,.4232153,-.1189462,-2.022237,-1.4529,332
unregulated,-1.863263,.3653673,-.3084236,-.9747319,-.930187,432
painstaking,-1.829801,1.022106,-.3249823,.6077402,-1.626509,431
exemplify,-2.010182,.9401339,-.344664,-.4531842,-.9974652,322
firebrand,-2.553888,.2984346,-.3103757,-2.542083,-.7667906,323
impeachable,-2.74458,1.888407,-.1479715,-2.935427,-1.583896,411
destabilize,-2.11988,-.7848554,-.2761829,-1.811244,-1.181178,422
choreography,-1.854127,1.410814,-.3100996,-4.113411,-.7437493,433
northerly,-2.345306,.2068875,-.3070614,-.8147382,.0767382,324
salutation,-2.34935,.5481206,-.2990772,-1.901284,-.3244695,423
conjugation,-2.678653,.8333185,-.1243723,-3.322188,.406169,414
faintness,-2.805012,-1.142655,2.816575,-1.722539,.3541256,314
uppermost,-1.930474,.2853768,-.2984468,.7979054,-.6822193,333
underwrite,-2.097281,.1268675,.3456466,-1.832173,-.2486053,424
cinematic,-1.720174,.5697459,-.3270164,-3.486709,-1.903217,330
supervisory,-1.365586,1.50185,-.1665357,-1.142409,-2.0572,430
persuasive,-.7312189,.4931204,-.3098438,.4200625,-1.748051,441
receptionist,-1.154367,1.491927,-.3391604,-2.422628,-2.033489,440
petroleum,-.3952899,.5561956,-.3241331,-.6920583,-1.709887,341
ecosystem,-.3397378,.9289063,-.3412842,-2.977978,-2.246952,340
anonymous,.1117546,.4633316,-.3221831,.0113069,-1.109984,342
battalion,-.9634792,.2293597,-.3139596,-1.924485,-.813464,343
unauthorized,-1.05289,1.376794,-.3542068,-.3227518,-1.309069,442
regeneration,-1.367887,1.328808,.303387,-1.996251,-.0166801,434
localized,-1.321899,.2141124,.5260111,-.9506416,.0691568,334
reservation,.0215281,.4229338,-.310949,-.4645334,1.067049,444
monstrous,-.7769122,.1113489,-.3039084,-.058986,-.1478321,344
democratic,.9335498,1.098105,-.3474905,-1.015157,-.5129409,443
